Cluster ID,Cluster Name,Feature List
11,Discord,"mention all random little bug, not to mention fact, not to mention fun era, mention such difficulty, mention mp3preview, break more thing, break even simple thing, break notification, break important feature, break app, break music bot, offer performance set, offer functional android app, drive app, face rare error, face login problem, demand more privilege, demand apology, demand steam razor gold game card, request password change, require multiple hard swipe, require phone number, capture image, type real email, type long message, celebrate halloween, showcase new work, have galaxy s24, reset phone, reset android notification permission, reset setting, reset date, reset discord passkey, skip whole mess, suspend account, recover old account, freeze app, limit account, limit free user, boost video thing, deserve global attention, deserve job, deserve status, deserve additional star rating, appreciate security, appreciate hard work, fill birth date, fill date, fill information, bother other, neglect android version, forgot password, got forgot password option, keep member list, keep review, keep old version, keep hard work, keep great work, keep good work, keep app, keep login, raise file limit, raise file size limit, raise rating, lock previously free feature, brings date, wipe part, ace job, affect campaign, alter own role, ruin childhood, ruin life, ruin discord experience, ruin whole thing, remedy key issue, prefer old profile view, prefer quality, prefer classic old discord, prefer old ui, have absolutely none, have approval, have option, have much low bitrate option, have giant undismissable banner, have genuine question, have one question, have coherent conversation, have conversation, have random conversation, have great time, have kind of good time, have easy time, have opportunity, have most high end phone, have old phone, have so many ui bug, have very minor bug, have pretty annoying bug, have quite afew bug, have multiple bug, have random bug, have trouble, have icon, have intention, have autism, have mic, have thing, have free stuff, have lot, have black dot, have server error message, have new message, have friend, have so many awesome friend, have idea, have one idea, have several piece, have word, have enough storage space, have money, have reason, have right password, have server, have straight forward but very user unfriendly interface, have daily login streak, have android device, have multiple device, have functionality, have bad moderation system, have good community, have transaction, have bad performance, have similar problem, have login problem, have different consistent audio problem, have slight problem, have problem, have big problem, have voice sensitivity, have crash, have midnight mode, have so many good feature, have many feature, have feature, have illegal content, have hand, have bad side, have old account, have account, have enough credit, have more storage, have advantage, have support team, have more group, have sim card, have two month, have so many button, have dm page button, have successful app, have instant access, have access, have single version, have work link, have small issue, have network issue, have massive network issue, have mobile push notification issue, have weird issue, have more and more issue, have issue, have audio issue, have screen share issue, have voice issue, have backup issue, have same exact issue, have same issue, have multiple issue, have way, have pc, have bad sound quality, have well sound quality, have technical error, have most traumatic experience, have buggy experience, have good experience, have experience, have horrible experience, have camera, have assistance, have perfect function, have proof, have discord, have open ticket, have fun, have email, have s23, have ad, have problem login, have audio, have nitro, have discord nitro, have background thig, have pixel7pro, have oneplus, have poco f5, have privecy issu, have on and off issue, have gmail, have many long stand issue, include same half screen bug, include high quality voice, understand bedtime story, understand insistence, understand gallery implementation, know definition, know problem, know previous topic, know other people, know people, get notif, get spongebob hat, get audio bug, get so many bug, get bug, get lot, get thing, get virus, get violation, get grubby finger, get switch, get sage, get clyde, get well logo, get nerve, get good android app dev, get message, get voice message, get error message, get reply, get amazing friend, get brand new phone, get new phone, get blank page, get double notification, get notification, get single notification, get guidance, get false report, get problem, get network problem, get one new problem, get money hungry discord, get hand, get two star, get link, get bot note, get rare error, get ultra super error, get error, get ultra rare error, get other issue, get idiotic issue, get issue, get app, get button, get multiple account, get account, get discord, get small lag, get lag, get bord, get alot, get ad, get free nitro, get nitro, get joe goldblum, get free3month, got nerve, got gang, got message, reach point, reach super rare thing, borrow device, catch ultra rare error, disturb work, bug old version, make useless garbage update, make more update, make update, make anti consumer change, make birth date, make profile, make account issue, make last bad review, make acc pis fix, make photo, make server, make own server, make whole nsfw server, make ticket request, make password, make thread, make story, make i, make lot, make ton, make friend, make new friend, make many good friend, make online friend, make so many friend, make other option, make decision, make sense, make mind, make new account, make account, make whole new account, make chat join group, make group, make mark, make new one, make old one, make gmail verification, make improvement, make chat app, make kid app, make app, make chat, make way, make new ui, make ticket, make discord, make bot, make new acc, make auto compress, make banger, make difference, deliver seamless experience, allow use, allow so many unnecessary money grub change, allow only legit server, allow more than one option, allow easy navigation, allow profile customisation, restrict background use, remove star, remove review, remove notification, remove users voice, remove unmute indicator, remove ability, remove emoji reaction, remove option, remove half functionality, remove phone number, remove number, remove status, remove acouple thousand user, remove horrible forward button, remove familiar layout, remove vertify, remove redirect, remove promote quest, put phone number, put number, put red dot, put message, put phone, put finger, put password, put right password, put birthday, put age, put profit, put guide, put birth date, put birthday date, put date, put update, put email, put dob, put banner ad, put ad, put vpn, put username, put contact pfp, see review history, see video, see ultra rare error message, see error message, see most recent message, see message, see new message, see notification, see blank channel, see half screen, see button icon, see good thing, see stuff, see screen sharing, see button, see friend activity status, see friend status, see new login location, see server and dm list, see server member list, see server member, see stream, see pic, see so much gore, see appeal, see app, see community meme, see ad, see bot, see quarter, see pin message, see read recipient, join voice channel, join beta, join particular server, join as many server, join techno gamers discord server, join single server, join discord server, join favourite youtube gamerfleet server, join community, join shawn discord, join aap, join like community, join voice chat, rejoin call, invite friend, serve community, leave review, leave discord, leave damn thing, leave problem, leave event, leave server, leave voice channel, leave message, leave text, leave discord app, leave app, leave countless email, leave part, forget password, forget discord password, forget laywall thing, forget update, bring og ui, bring old ui, bring ig, bring old account, bring old app, bring notification setting, bring ability, bring new bug, bring bug, bring old username system, bring search bar, bring old one, bring feature, bring pleasure, bring sht update, give bad review, give hundred1star review, give minus rating, give so many issue, give outsider insider vibe, give ability, give trouble, give permission, give suggestion, give response, give friend, give idea, give option, give more privilege, give tech support, give answer, give code, give phone number, give verification number, give zero, give ounce, give notification, give number phone, give chance, give money, give account, give negative star, give five star, give zero star, give feature, give experience, give desktop layout, give update, give link, give sms, give error, give email, give old ui, give toggle, give alot, give run, give bonus, give year, give canned response, take almost5minute, take droog, take action, take thing, take little time, take time, take very little effort, take more space, take space, take phone, take picture, take photo, take care, take free speech, take age, take hour, take more tap, take advantage, take note, take side, take hold, take date, take good functional app, take app, take stupid app, take email i d, take teamspeak, pay attention, pay other half, pay money, pay nitro, tell other person, tell mean name, tell wheather, tell negative reviewer, eat so much battery, eat sooo much memory, eat fat wad, enjoy app, enjoy discord app, enjoy discord, feed subscription, feed family, fix buggy app discord, fix discord, fix lag, fix horrible app, fix mobile app, fix app, fix damn app, fix stupid app, fix garbage app, fix ui, fix stuff, fix dm stuff, fix thing, fix bug, fix android bug, fix random bug, fix file limit, fix it, fix mic voice, fix voice message, fix shi, fix captcha provider, fix support, fix mobile voice system, fix microphone problem, fix mic problem, fix problem, fix one problem, fix emote gif problem, fix account, fix bluetooth stability, fix call issue, fix discord share issue, fix phone number issue, fix issue, fix disgusting update, fix date, fix avatar decoration, fix plsss, fix gmail, stop entire app, stop such type, save image, save first file, save chat history, help atleast afew thousand people, help developer, connect different youtube account, connect app, connect youtube, communicate people, handle basic messaging, handle bug, drain battery power, push feature, push nitro, hit bot verification button, hit search, destroy own app, kill mobile version, check status page, check other channel, check server, check message, check app setting, check friend account, check status report, check issue, check patch note, check own profile, check burmese unicode font, check email, check e, check reddit, read request, read message, read receipt, read stuff, read obscure capcha challenge, read review, read email, accept password, accept invite, accept verification code, accept phone number, accept birthday, accept date, accept birth date, say noob, say nword, say many thing, say age, say rare error, say new location, say good social app, say racial slur, ask sis, ask friend, ask user, ask mobile number, own one discord account, take daughters account, steal personal information, steal meme, consume quite power, buy new phone, buy all share, buy item, buy free trial, buy decoration, buy afew nitro, buy newly implement nitro, buy nitro, buy nitro sub, spend time, spend hour, spend money, spend almost20dollar, pull act, use stock android emoji, use emoji, use already exist nitro credit, use just voice chat, use same as always good way, use dm, use vpn, use s21ultra, use samsung s24, use camera, use platform, use flame hot garbage, use garbage, use improvement, use full benefit, use device, use microphone, use android, use application, use mic, use bug, use server, use correct password, use invisible mode, use split screen mode, use word, use different word, use phone number, use review form, use google, use discord mobile, use discord call, use voice call, use gmail account, use main account, use account, use notification bar, use work, use text, use data, use free discord member, use desktop version, use old version, use less broken pc version, use camera function, use other app, use app, use different app, use mobile app, use more frustrating app, use chat, use new ui, use language, use headphone, use website, use desktop website, use internet, use com, use old email, use email, use discord, use poco x6pro, use bot, use animate and custom emoji, use datum, use whatsapp, use vcs, use vc, use dms, consider minor change, add thread search function, add function, add containue, add image automod feature, add feature, add chat bubble feature, add useless feature, add nonsensical feature, add new content, add simple thing, add thing, add useless stuff, add lot, add ability, add connection, add time, add friend, add comment, add option, add other option, add image, add picture, add server, add support, add switch account, add search bar, add app, add more button, add date, add dm tab, add dob, add new bot, add roblox, add deviantart, add venmo, add real time snap photo, add birthdate, add emoji, add custom joining sound effect, display message, do display name, change frontend ui display look, display completely different result, move social group, block people, throw wildly different error, find so many trade, find alternative, find solution, find discoverable server, find fix, find friend, find many friend, find arena breakout teammate, find people, find random person, find community, find color code, find member list, find ultra error, find new one, find perfect app, find app, find discover channel compass button, find minor, find many youtuber, seek legal matter, seek alternative, choose new image, choose browser, choose username, choose birthdate, pick call, pick voice, pick game audio, pick audio, pick wrong subscription, try mobile streaming, try multiple browser, try suggestion, try all suggestion, try different device, try single method, try article, try app, try clear cache, try other function, try various troubleshooting step, try login, try genshin, try to screen share, try force stop, provide lite app, provide endless possibility, provide update description, support multiple language translate, support bad business, ensure smooth performance, receive message notification, receive notification, receive nitro gift, receive message, receive verification code, receive chat, receive error, receive rare error, receive email, resolve problem, resolve bug, resolve issue, discuss more feature, describe experience, describe app, encourage genuine crime, encourage other minor, develop how many issue, reduce file upload limit, reduce media upload limit, reduce quality, decrease mb limit, minimize app, manage own role, manage large server, manage subscription, commit suicide, modify feature, teach burmese, learn varied game play, introduce metric, report discord server, report message, report people, report scammer, dislike swipe to reply feature, collect email, collect fund, register date, register number phone, register problem, register account, register new account, register app, detect more update more problem, date note accept plzzz solution problem, test fold phone build, fix log in system, fix call audio, verify log in location, duplicate send image, switch input device, have switch account feature, i amhave same issue, do literally all propose solution, purchase nitro clasic, hate10gb rule, increase stream bitrate, cancel event, cancel reset password, recently cancel nitro, cancel subscription, have split second delay, encounter ultra rare error, encounter more bug, need money, need more room, need privacy, need connection, need how much memory, need highend phone, need friend, need help, need hug, need daily status, need verification, need improvement, need notification bell, need assistance, need dedicated button, need competition app, need function, need refund, need free nitro, need gift nitro button, need to much security, want gamer boy bath water, want more money, want old i d, want static long red button, want garbage update, want proof, want nitro, hate android, hate new interface, hate mobile accessability design, hate fact, hate new mobile, hate free user, hate mobile user, hate new ui, hate new discord, hate nex update, hate mobile update, hate new appearance, you coward"
12,Force Stop,"force people, force unwanted change, force more and more micro, do force stop, force new ui"
13,Troubleshooting,"do great work, do illegal activity, do good job, do job, do wonderful job, do thing, do wrong thing, do same thing, do weird thing, do verification thing, do certain thing, do all usual troubleshooting procedure, do verification check, do illegal purchase, do bare minimum, do verification, do video call, do screen share, do gif, do email, do game audio"
14,Call and Account Sign Up,"call justin, call people, call ui, sign account"
15,Follow Steps,"follow guide, follow step"
16,Sarcasm,"guess sarcasm, notice clear downhill slide"
17,Unfriendly User Experience,"not user friendly pain, effect android user, share discord application"
18,Internet Access,"shut internet connection, shut account, shut other app, open whole new world, open yourself"
19,Look At Video,"load six second video, go video, look issue, look video, watch youtube link"
20,Socializing with Others,"hear voice, hear screen, hear sound, hear friend, hear call, hear voice discord, hear mic audio, hear audio, hear game audio, feel need, meet so many people, meet new people, meet really nice people, meet interesting people, meet so many nice people, meet good friend, meet cool friend, meet new friend, meet first true friend, meet friend, meet discord, meet new peep"
21,Long-Term Financial Transactions,"take more than amonth, took money"
22,Hiring,"hire crusty, grind whole app"
23,Communication Apps,"chat people, chat favorite thing, chat skibidi, good chatting app, stream different app"
24,App Exit,"quit app, love app die"
25,Security and Privacy,"neat more optimization, not secure app, verify code, verify different airdrop coin, verify problem, have verify number, verify number, verify phone number, verify phone, verify password, verify good be account, verify account, fix verify dead email issue, verify email, verify discord, verify captcha, verify phken number"
26,Create New Account,"create pop up, create bad app, create many server, create server, create lock channel, create new password, create i, create new thread, create problem, create new account, create first account, create new email account, create account, create own account work, create new acount, create such horrible ui, create acc, create whole new acc, create bot, install version, install app, write review, write link"
27,Turn On/Off Device Functions,"turn notification, turn all new stuff, turn camera, turn gif, turn bluetooth, turn wifi"
28,Nitro,"cost money, afford nitro price"
29,Update Apps,"update app, update trash app, update ui, update phone, release useless update, replace discord, replace downgrade, replace message app, replace password, replace skype"
30,Change UI,"change orientation, change maximum file size, change guild, change default input and output device, change notification tone, change notification sound, change input output, change mind, change rating, change life, change world, change entire layout, change app, change perfect ui, change mobile ui, change ui, change date, change email, change gmail, change lock screen wallpaper, changes notification tone, cut half message, cut begining, cut file upload limit"
31,Online Community Management,"view new message, view message, view online member list, view medium break app layout"
32,Miss Old Discord,"miss other stuff, miss critical news, miss key feature, miss old discord mobile, miss iconic discord grey, miss old layout, miss old version, miss simple discord, miss old discord, miss sweet discord, miss old ui, miss dm, miss old sliding member tab"
33,Messaging,"send animate sticker, send screenshot, send otp, send dm, send message, send simple message, send voice message, send long message, send freind request, send friend request, send photo, send nsfw photo, send picture, send image, send push notification, send notification, send threat, send code, send verification code, send authentication code, send file, send how big file, send fake link, send expired link, send verification, send pic, send gif pic, send press, send other app, send one, send nodification, send email, send gif, send free nitro, send video, send long video, send picture video, send photo video, send screen recording, send gifsanymore, send emoji, get fail to send message"
34,Authentication,"remember one, remember password, remember username"
35,UI Adjustment,"downgrade ui, toggle new layout"
36,App Launch,"enter channel, enter discord auth code, enter number, enter app, enter birth date, enter few10minute, enter voice chat"
37,Play Video Game,"play pojavlauncher, play roblox, play destiny, play death, play game, play video game, play animate webp file, play audio file, play app, play gif, play video"
38,Show Content,"show efit history, show video, show old message, show new message, show correct spelling, show notification, show full thing, show captcha question, show bunch, show picture, show much issue, show cp, show information, show proof, show gross emoticon, show poop, pass date"
39,Customer Service,"solve problem, solve phone verify problem, solve connectivity thing, solve bluetooth issue, solve issue, solve captcha, solve plzz"
40,Discord,"improve discord experience, improve notification system"
41,Log Account,"log account, log own account, log iwould bro"
42,Thank You,"thank goodness, thank udiscord"
43,Troubleshooting Tips,"check troubleshooting tip support page, do troubleshooting tip"
44,Run a Private Server,"run amoc, run perfec, run private server, run dc"
45,Screen Sharing,"start account, start screen share, start system, start about15similar app"
46,Love New Features,"love extra help, love new group, love new passkey feature, love new avatar decoration, love itt"
47,Account Loss,"lose people, lose money, lose ability, lose i, lose friend, lose many online friend, lose all message, lose phone, lose number, lose all discord notification, lose mind, lose decade old account, lose original account, lose account, lose access, lose favorite app, lose track, lose nitro"
48,Bug Reporting,"submit bunch, submit two bug report, submit age, submit ticket"
49,Discord,"like customization option, reset password, use number, have8digit code, like game, unmute mic, use tablet, hack friend account, gift second message, stream phone, use lot, need lot, name few thing, it great app, need competitor, call shot, show channel, force quest pop, address as soon as possible, nice fo chat, like discord interface, to much complicated application, have own community, use program, submit report, need change, wayy too many people, pander cry baby, discord good job hay aur ap sab free man discord good job, change feature, have own menu page, post pic, 1 in game account switcher mod disord, like access, port ios version, view medium, like original one, lose4year old account, discord very bad app, down app, like mobile app, open different app, use web app, like app, ruin app, update mobile app, reboot app, open other app, good app dude ngl, like app layout, like current old layout, have call issue, submit review, like way, have samsung galaxy s22ultra, like update, like new ui, like old discord, rip discord, like discord, discard sound quality, request same information, mess entires audio, like football, because too much drama, like update policy, reinstall kt, want potrait, use game tester, cancel nitro, lock nitro, need nitro, break community guideline, use chromebook, post video, like poop, like swipe to reply feature"
50,Social Media Platforms,"facebook twitter login pls, didi maine aapko instagram"
51,Video Upload,"upload photo, upload picture, upload image, upload even short video, upload video"
52,Public Channels,"browse channel, browse public server, browse public stream, browse gifs"
53,Downloading Images,"download single file, download all image"
54,Click Voice Setting,"click voice setting, take more click"
55,Click Interaction,"click channel, click discord logo, click image, click forum post, click button, click app, click textbox, click watch screenshare, click subthread"
56,Bless Night,"have bless night, bless screen industry"
57,Poor User Experience,"horrible app, terrible app"
58,Year of Update,"2024update, 2023update"
59,Glitch,"glitch, have glitch"
60,Crash,"because crash, because heating"
