Cluster ID,Cluster Name,Feature List
11,Prove Feature Value,"prove value, prove feature, minimize app, avoid poorly execute junk, attach custom screenshot"
12,Writing,"write research paper, write information, write long review, write paragraph suggestion, write message, write daddy, write work, write code, write character, write email, give write information"
13,Personal Sharing,"share picture, share personal problem, share datum"
14,Information Gathering,"gather information, gather knowledge, gather more datum"
15,Turning On/Off Lights,"turn phone screen, turn device, turn extremely basic hallway light, turn phone, turn picture, turn gemini, turn information"
16,Hold Action,"hold conversation, hold candle, hold google, hold home button, hold power button"
17,AI Application,"by far bad ai model, good ai system, ai power, good ai image, very poor ai response, good ai application, very good ai application, amazing ai software, good ai friend, great ai companion, highly ai innovation, good ai experience, useful ai function, cool ai app, best ai app, very good ai app, excellent ai app, not great or outstanding ai app, amazing ai app, bad ai app, amazing ai assistant, favorite ai helper thank, perfect ai chat bot, do ai bot, best ai assistor, legendary ai, enjoy ai tool, make ai photo, want ai chat app, show ai generate photo, use google gemini live, use gemini ai, utilize gemini ai, love gemini ai, very intelligent ai, good app help, good app read, good app ai, great app ai, helpfull ai"
18,System Error,"encounter error, encounter problem, encounter issue"
19,Large Language Model,"explore gemeni, explore knowledge, sell llm, occupy more than5gb storage, replicate duplicate, search various article"
20,Chat GPT,"goto generative ai app, exlent chat gpt, horrible inept and confused ai"
21,ChatGPT,"chat gpt, prefer chat gpt"
22,Beat the Competition,"beat competition, beat siri, beat other ai app, beat device ai assistant"
23,Open Other Chat,"open many app, open other chat, shut chat, shut conversation"
24,Communication,"send bug report, send info, send incorrect text, send text, send more opportunity, send homework, send text message, send picture, send print version, send account"
25,Spell Check,"good bit feel, spell simple word"
26,AI App,"awesome ai assistant, awesome ai app, awesome ai, superb ai enhancement, wonderful ai, nice ai, perfect ai, good ai interaction, good ai companion, good ai assistant, good ai graphic designing, good ai app, super good ai, very good ai, good ai, good ever ai, such great ai, great ai, see great ai, most stupid ai, stupid ai, hand dumb ai, perhaps poor ai, boring ui, bad ai, thank boo great job, thank nice job, thank gemini ai team, thank app, thank good app, thank google team"
27,Internet Access,"miss key functionality, miss tidal spotify extension, miss content, miss internet access, miss vital feature, miss half"
28,Contextual Recall,"remember previous message, remember name, remember two thing, remember conversation, remember detail, remember important detail, remember command, remember location, remember shhit, listen song"
29,Transcription of Audio or Video,"translate conversation, translate chinese, export entire transcript"
30,Upgrade Technology,"integrate assistant, convert image, upgrade tech system, upgrade device, upgrade phone, upgrade app"
31,Voice Assistant,"change gemini setting, change reminder, change subject, change logo, change assistant voice, change voice, change chemin voice, change default contact number, change mind, change rating, change life, change language, change assistant, change part, change ai voice assistant, change device set, transfer print calendar, cut bluetooth audio, cut bs, changes language"
32,Personal Communication,"work though utha kar yaar aaja aaja main bhi nahi jantha hai mujhko bhi ho app, work granny"
33,Image Viewing,"link location, view image"
34,Google Assistant,"replace assistant, replace google assistant, replace regular google assistant, replace human, replace genuine learning, replace function product, replace google update transmission go, replace invalid link, replace app, replace assitant, update ai, update gemini, update memory, update phone, update app, update google assistant"
35,Language Translation,"show wrong answer, show message, show mistake, show image, show picture, show alarm page, show practical price, show kannada text, show english language, show language, show other language, show good assistant"
36,Play Music,"play voice, play news, play thing, play response, play game, play shark boy, play pandora, play medium, play chess, play music, play song, play playlist, play bass guitar, add play music"
37,Improve User Experience,"improve calculation, improve datum security, improve future interaction, improve ability, improve mistake, improve mood, improve thing, improve voice, improve microphone, improve answer, improve knowledge, improve productivity level, improve multiple language mode, improve math answer type formay, improve information source quality, improve quality, improve image quality, improve gemini zulu language, improve language, improve search result, reduce work, experience good ui, experience technical difficulty, great experience ai work, increase voice, increase time delay"
38,Learning,"gain more feature, gain knowledge"
39,Artificial Intelligence Waste,"waste money, trash ai, spit bad information"
40,Imagine Power,"imagine power, imagine woke copilot"
41,Artificial Intelligence App Review,"recommend student, recommend task, recommend gemini, recommend artificial intelligence app, recommend app, recommend very bad experience, recommend assistant, review thing, review specific detail"
42,AI Assistant,"love image, love new british voice, love it, love many stuff, love ai, love open ai, love both gemini, love live talking option, love live mode, love new companion, love very nice app, love perfect and fabulous app, love assistant, love ai buddy, love ai microsoft, love new ai"
43,Business Operations,"run three party, run business"
44,Math and Science,"solve question, solve math and science question, solve math science computing and engineering question, solve math homework, solve hard thing, solve odia math problem, solve math problem, solve physics and math problem, solve maths problem, solve problem, solve more and more problem, solve code, solve math equation, solve sum, solve simple maths, solve maths question, solve maths sum"
45,"Copying Text, Pictures, and Other Content","copy wrong word, copy success, copy picture, copy select text"
46,Information Extraction,"extract information, extract sentence, extract main point"
47,Most Advanced AI,"most advanced ai, enter thing"
48,Emotion Expression,"express emotion, express strong interest, express feel"
49,Simple Task,"perform task, perform basic task, perform action, perform basic function, perform simple transcript"
50,Lose Capability,"lose capability, lose interest, lose thread, lose phone, lose sight, lose assistant"
51,Personal Information Retention,"retain information, retain personal information, retain context"
52,Building Relationships,"build good relationship, build body, build rapport"
53,Secure Messaging and Video Conferencing,"verry good app, verry usefull app, verry grate innovation"
54,Image Upload,"upload picture, upload photo, upload image"
55,Summarization,"summarize google news, summarize result, summarise page"
56,Revision of Own Algorithm,"revise own algorithm, revise review"
57,Music Streaming,"play spotify, play spotify song"
58,Spotify Integration,"spotify integration, have spotify integration, spotify extension, have spotify extension, spotify control, fix spotify issue"
59,Music Streaming Service,"understand spotify, use spotify, ask spotify"
60,Do Lack,"do lack, lack"
61,AI,"seem nice and adequate ai, treat ai, enhance ai, fail ai game, well publish ai, cool interactive ai chatbot response, not bad but little good other ai tool, very useful ai, just right ai, ai, only ai, well ai, great ai gemini, very bad ai, not ai, have ai, absolutely good ai tool, good ai tool, really useful ai, beats and metas ai system, simply amazing ai, good ai module, like ai, good ai model, great ai technology, very nice ai, really good ai, very helpful ai"
62,Artificial Intelligence,"compare ai, use open ai, add ai, return ai chip"
63,Artificial Intelligence (AI),"call ai, ask ai, want ai, woke ai"
64,Unnecessary AI,"learn ai, really useless and poorly develop ai, create ai"
65,Improving AI,"require improve, improve ai"
66,Voice Assistant,"say hey gemini not hey google, do gemini"
67,AI Feature,"enjoy feature, good ai feature, amazing live chat feature, have feature"
68,Answering Adzan,"answer quite lot, answer adzan time"
69,Small Talk,"say fifteen minute, say lot, say good afternoon"
70,Set Management,"have set, check set"
71,Get Prompt,"get lot, get straight a, get same time, get prompt, get way, get pegus, get kind, get long way"
72,Explaination,"explain thought, explain lay"
73,Skill Level,"know alot, know right way, know basic"
74,Conversation,"talk een, talk agian, talk"
75,Give Feedback,"give how to, give example, give app, give feedback, give how much neglect"
76,Time Duration,"take second, take forever, take time"
77,AI-Powered Assistance,"help, good ai help, very help, help loneliness"
78,Need Broad and Well Visualized,"need well visual, need, need broad and well understand"
79,Enjoying the Past,"enjoy last year, enjoy way"
80,Fully Equipped Feel,"fully equire feel, give feel"
81,Chat GPT,"good ever chat gpt chat gpt, like gpt"
82,Voice Assistants,"use hey google, use ful, use os, use full"
83,Listen to a Word or Phrase,"listen somerime, listen word"
84,Haircut,"cut word, 0261pixie cut"
85,Change Accent,"change accent, change algorithm, change thinge"
86,Work,"do work, not work, should more work, work good, plz work, still work, help work"
87,Time Waste,"waste far more time, waste so much time, just waste"
88,Wondering,"do wonder, wonder"
89,Open Messaging App,"open messaging app, open bluetooth setting"
90,Open Chat,"open tidal, open new chat, open bloody app, open ap"
91,Google Assistant,"complete tast, complete simple google home command"
92,Turn On Light,"turn light, turn hallway light"
93,Force Upgrade,"can be upgrade, force upgrade"
94,Chat,"chat gtp, chat"
95,Virtual Team Communication,"thank, and thank, ok thank, very good and thank, truly helpful thank, awesome thank"
96,Regurgitation,"regurgitate useless repeat awser, regurgitate too much useless information"
97,Limited Smart Home Functionality,"limited image, limited smart home capability, limited function, limited ability"
98,Update,"update hindi language, update"
99,Google Apps,"run google, run android"
100,Glitchy,"have glitch, so much glitch"
101,Rating,"five star, three star"
